VideoID,PrimaryDecision,SecondaryDecision,FinalDecision
V_705,No,No,No
NV_157,Yes,N/A,Yes
V_537,No,No,No
NV_46,Yes,N/A,Yes
V_426,Yes,N/A,Yes
V_916,Yes,N/A,Yes
V_233,Yes,N/A,Yes
NV_101,No,No,No
V_509,Yes,N/A,Yes
V_780,Yes,N/A,Yes
V_527,Yes,N/A,Yes
NV_556,Yes,N/A,Yes
V_981,Yes,N/A,Yes
V_789,Yes,N/A,Yes
NV_4,No,No,No
V_640,Yes,N/A,Yes
NV_126,No,No,No
NV_980,No,No,No
V_597,Yes,N/A,Yes
NV_596,No,No,No
NV_945,No,No,No
NV_131,No,No,No
NV_721,No,No,No
V_66,Yes,N/A,Yes
NV_494,No,No,No
V_847,Yes,N/A,Yes
V_398,Yes,N/A,Yes
V_263,Yes,N/A,Yes
NV_221,Yes,N/A,Yes
V_698,No,No,No
V_333,Yes,N/A,Yes
NV_59,No,No,No
V_260,Yes,N/A,Yes
NV_104,No,No,No
NV_171,No,No,No
V_817,Yes,N/A,Yes
NV_758,Yes,N/A,Yes
V_621,No,No,No
V_562,Yes,N/A,Yes
V_427,Yes,N/A,Yes
NV_352,No,No,No
NV_518,Yes,N/A,Yes
NV_532,Yes,N/A,Yes
NV_519,Yes,N/A,Yes
NV_263,No,No,No
V_551,Yes,N/A,Yes
V_610,No,No,No
V_162,Yes,N/A,Yes
V_36,Yes,N/A,Yes
VideoID,PrimaryDecision,SecondaryDecision,FinalDecision,ViolentCaption,TextOnlyResponse
V_539,Yes,N/A,Yes,"yes, this image shows a baseball player hitting another player with his bat. the player being hit is on the ground, and the player who hit him is standing over him. the player who was hit is wearing a gray uniform, and the player who hit him is wearing a white uniform with the word ""carreon"" on the back. the image is blurry, but it appears to be a screenshot from a video of a baseball game. the background of the image shows other players and spectators in the stands, suggesting that the game is being played in a stadium. overall, the image depicts a violent or aggressive action, specifically a physical altercation between two baseball players.",N/A
V_679,Yes,N/A,Yes,"the image depicts a sports game, specifically an australian rules football match, between two teams, one wearing black and red uniforms and the other in white and blue. the players are gathered in a huddle, with some appearing to be arguing or confronting each other. in the background, a referee in a yellow shirt is visible, suggesting that he is attempting to intervene in the situation. it appears that a physical altercation has occurred, as some players are standing with their arms raised, while others are gesturing aggressively. the scoreboard at the bottom of the image indicates that the game is in the second half, with the black and red team leading by 6 points. overall, the image suggests that the game has taken a heated turn, with tensions running high between the two teams.",N/A
NV_456,Yes,N/A,Yes,"yes, there is violence depicted in this image. this image is a still from the 1928 film ""the circus"" directed by charlie chaplin. the scene shows charlie chaplin's character, the tramp, sitting at a table with a bowl of food in front of him. he is holding a spoon in his right hand and appears to be eating. however, his facial expression suggests that he is experiencing some discomfort or pain. suddenly, he begins to gag and vomit, spewing food out of his mouth and onto the table. the vomit is depicted as a dark, liquid substance that splatters everywhere, including onto the table, the bowl of food, and even the tramp's face. the scene is chaotic and disturbing, with the tramp's body language conveying a sense of distress and discomfort. the violence depicted in this image is not physical, but rather emotional and psychological, as the tramp's vomiting is a result of his inner turmoil and anxiety.",N/A
V_456,Yes,N/A,Yes,"**summary:** a blurry, low-quality image of a woman in a red tank top and black pants, possibly in the midst of a physical altercation with another person. **detailed description:** the image depicts a woman with long, light-brown hair, wearing a red tank top and black pants, standing on a street with her back to the camera. her arms are raised, and her right arm appears to be in motion, as if she is in the process of striking someone. the woman's face is blurred, making it difficult to discern her features. in the background, a black car is parked on the street, and a building with a lawn and bushes is visible. the overall atmosphere of the image suggests a tense and potentially violent situation.",N/A
V_124,Yes,N/A,Yes,"yes, there is a violent or aggressive action in this image. a man in a red shirt appears to be attacking a woman on the ground. the woman is wearing a blue dress and is lying on the ground with her arms outstretched. the man in the red shirt is standing over her, holding what appears to be a stick or bat. he is in the process of swinging it down towards her. there are several other people in the background, but they do not appear to be involved in the altercation. the scene is chaotic and intense, with the man's aggressive behavior causing the woman to fall to the ground. the image is blurry, but it is clear that the man's actions are violent and aggressive.",N/A
V_587,Yes,N/A,Yes,"yes, there is violence depicted in this image. this image shows a hockey rink with several players lying on the ice, with some of them holding their arms and legs in unnatural positions. the players appear to be unconscious or injured. in the background, there are people standing on the ice and others in the stands, which suggests that this is a sports event, possibly a hockey game. the image is blurry, but it appears to be a chaotic scene with players and spectators reacting to the violence.",N/A
NV_464,Yes,N/A,Yes,"yes, this image depicts a violent scene. a person in a black shirt is shown performing a backflip, with their body inverted and their legs extended upwards. the background of the image is blurry, but it appears to be a gymnasium or indoor sports facility. the presence of a basketball hoop and a wall with a window suggests that the scene is taking place in a sports-related setting. the image is likely a still from a video, and the action is captured in mid-air, conveying a sense of dynamic movement and energy.",N/A
NV_405,Yes,N/A,Yes,"yes, there is violence depicted in this image. a man is shown hitting a drum with a stick, which is likely a form of percussion. the man is wearing a tan jacket and has short brown hair. the drum is black and appears to be made of plastic or metal. the background of the image is blurry, but it appears to be a grassy field with trees in the distance. the overall atmosphere of the image suggests that the man is engaged in a musical performance or practice, but the aggressive nature of his actions raises concerns about his behavior and potential harm to others.",N/A
NV_628,No,yes,Yes,N/A,cutting knowledge date: december 2023 today date: 11 may 2025  no
V_341,Yes,N/A,Yes,"yes, this image depicts a violent scene. a shirtless man is seen attacking another man, who is wearing jeans and has his back to the camera. the man being attacked is trying to defend himself, but the attacker is using physical force to pin him down. the scene appears to be taking place on a sidewalk or street, with a bus visible in the background. the image is blurry, but it appears to be a still from a video or photograph taken in a public setting. the presence of a bus and the fact that the men are in a public place suggest that the incident may have been witnessed by others, but it is unclear whether anyone intervened to stop the violence. overall, the image conveys a sense of chaos and aggression, and the violence depicted is a clear violation of the well-being of the person being attacked.",N/A
V_285,Yes,N/A,Yes,"yes, this image depicts a violent or aggressive action. a hockey player wearing a white and red uniform is shown swinging his stick at another player wearing a black and yellow uniform. the player in the white and red uniform appears to be in the midst of swinging the stick, while the player in the black and yellow uniform is in the process of falling to the ground. the referee, wearing a black and white striped shirt and black pants, is positioned nearby, watching the situation unfold. the background of the image shows a hockey rink with other players and officials present, but the focus is on the two players involved in the altercation.",N/A
NV_828,No,No,No,N/A,cutting knowledge date: december 2023 today date: 11 may 2025  all of the descriptions provided indicate that there is no violence depicted in the images.
NV_573,No,yes,Yes,N/A,cutting knowledge date: december 2023 today date: 11 may 2025  yes
V_229,Yes,N/A,Yes,"the image depicts a chaotic scene at a gas station, with a group of individuals gathered around a red car. one man, dressed in a white tank top and dark pants, is standing next to the car, holding a bottle in his right hand and appearing to be in an agitated state. he is leaning against the car, with his left hand on the roof and his right hand raised, as if he is about to throw the bottle. the man's body language suggests that he may be preparing to engage in violent behavior. in the background, several other individuals are visible, some of whom appear to be watching the situation unfold. the atmosphere of the scene is tense and potentially volatile, with the man's aggressive posture and the presence of a bottle suggesting that violence could erupt at any moment. overall, the image conveys a sense of danger and unpredictability, highlighting the potential for conflict in public spaces.",N/A
NV_18,No,yes,Yes,N/A,cutting knowledge date: december 2023 today date: 11 may 2025  no
V_506,Yes,N/A,Yes,"the image depicts a scene from an australian rules football game, with players gathered on the field and a crowd of spectators in the background. the players are dressed in their team uniforms, and the atmosphere appears to be one of tension and conflict. upon closer inspection, it becomes clear that a player has been ejected from the game, as evidenced by the referee's yellow shirt and the player's removal from the field. the image suggests that the ejection was likely due to a violent or aggressive action, although the exact nature of the incident is not immediately apparent. overall, the image conveys a sense of intensity and competition, highlighting the physical and emotional demands of the sport.",N/A
NV_551,No,yes,Yes,N/A,cutting knowledge date: december 2023 today date: 11 may 2025  yes
NV_604,No,yes,Yes,N/A,cutting knowledge date: december 2023 today date: 11 may 2025  no
NV_480,No,yes,Yes,N/A,cutting knowledge date: december 2023 today date: 11 may 2025  no
NV_660,No,yes,Yes,N/A,"cutting knowledge date: december 2023 today date: 11 may 2025  based on the descriptions, i would answer: 1. no 2. no 3. no 4. no"
V_320,Yes,N/A,Yes,"yes, violence is depicted in this image. the image shows two hockey players engaged in a physical altercation, with one player attempting to hit the other in the head. the player in red is bent over, with his arms outstretched and his head lowered, while the player in white is standing upright, with his arms raised and his fists clenched. the referee is standing nearby, watching the situation unfold. the scene is tense and aggressive, with the two players clearly engaged in a physical confrontation. the referee's presence suggests that the situation may be escalating, and that intervention may be necessary to prevent further violence. overall, the image conveys a sense of conflict and aggression, highlighting the physical and emotional intensity of the hockey game.",N/A
V_881,Yes,N/A,Yes,"**yes, violence is depicted in this image.** **description of the scene:** the image shows a blurry, low-resolution video still of a hallway with two people in the foreground. one person is wearing a blue shirt and black pants, while the other is wearing a black shirt and dark pants. the person in the blue shirt appears to be pushing or shoving the person in the black shirt, who is being forced against a wall. **violent or aggressive action:** the violent or aggressive action depicted in this image is a physical altercation between two individuals. the person in the blue shirt is using physical force to push or shove the person in the black shirt, which could potentially cause harm or injury. **involvement of individuals:** the two individuals involved in the altercation are the focus of the image. the person in the blue shirt is the aggressor, while the person in the black shirt is the victim. the exact circumstances surrounding the altercation are unclear, but it appears to be a sudden and intense physical confrontation. **peaceful or non-violent scene:** this image does not depict a peaceful or non-violent scene. the physical altercation between the two individuals is a clear indication of violence and aggression.",N/A
NV_297,No,yes,Yes,N/A,cutting knowledge date: december 2023 today date: 11 may 2025  no
V_783,Yes,N/A,Yes,"yes, violence is depicted in this image. a man is seen lying on the ground, with another man standing over him, holding a stick or bat. the man on the ground appears to be in a defensive position, with his arms raised to protect himself. the man with the stick is in an aggressive stance, with his arm cocked back, ready to strike. the scene is chaotic and intense, with the two men in a physical confrontation. the presence of the stick and the aggressive posture of the man holding it suggest a high level of violence and aggression.",N/A
V_148,Yes,N/A,Yes,"yes, violence is depicted in this image. the scene shows a person being physically assaulted by another individual. the aggressor is on top of the victim, who is lying on the ground, and is delivering blows to their head and body. the aggressor's actions are aggressive and violent, and the victim appears to be in a vulnerable position. the image suggests that the aggressor is using physical force to harm the victim, which is a form of violence.",N/A
V_614,Yes,N/A,Yes,"yes, there is violence depicted in this image.  the image shows a football game with two teams, the washington redskins and the baltimore ravens, in action. the scene is chaotic, with players from both teams in motion, and it appears that a player from the ravens is tackling a player from the redskins. the redskins player is wearing a white jersey with red and yellow stripes, while the ravens player is wearing a purple jersey with white stripes. the redskins player is wearing a helmet with a red stripe, while the ravens player is wearing a helmet with a black stripe. the background of the image is blurry, but it appears to be a football field with green grass and white lines.  overall, the image captures a dynamic moment in a football game, with players from both teams engaged in physical activity.",N/A
NV_564,No,yes,Yes,N/A,cutting knowledge date: december 2023 today date: 11 may 2025  no
V_311,Yes,N/A,Yes,"yes, there is violence depicted in this image.  the image shows a hockey game in progress, with two players from opposing teams engaged in a physical altercation. one player, wearing a white jersey with the number 28, is leaning forward and punching another player, who is wearing a blue jersey with the number 81. the player in the white jersey has his right arm extended, and his fist is visible as he strikes the other player. the player in the blue jersey is also leaning forward, with his left arm raised in defense.  in the background, other players are visible, as well as a referee and spectators in the stands. the ice rink is well-lit, and the atmosphere appears intense and chaotic. the image captures a moment of conflict and aggression during the game.",N/A
V_746,Yes,N/A,Yes,"yes, violence is depicted in this image. the scene shows a group of children engaged in a physical altercation, with one child appearing to be in a defensive position and another child attempting to grab or push them. the image captures a moment of conflict between the two children, with the other children in the background seemingly unaware or uninvolved in the situation. the scene is tense and potentially violent, with the two children in the foreground appearing to be in a state of physical confrontation.",N/A
V_478,Yes,N/A,Yes,"yes, violence is depicted in this image.  a man is being punched in the face by another man, who is wearing a green shirt with a white logo on the back and white pants. the man being punched is wearing a white shirt and white pants. there are several other people in the background, but they do not appear to be involved in the altercation. the scene is set at night, and there are streetlights and cars visible in the background. the image is blurry, but it appears that the man being punched is being held up by another person or object, possibly a car or a wall. the overall atmosphere of the image is one of violence and aggression.",N/A
NV_68,No,yes,Yes,N/A,cutting knowledge date: december 2023 today date: 11 may 2025  no
NV_287,No,yes,Yes,N/A,cutting knowledge date: december 2023 today date: 11 may 2025  no
NV_822,Yes,N/A,Yes,"yes, this image depicts a violent scene. a man is shown standing in the middle of a street, with a crowd of people gathered behind him. the atmosphere appears tense, and the man's posture suggests that he may be involved in an altercation or confrontation. the presence of a crowd and the man's aggressive stance indicate that the scene is likely violent or aggressive.",N/A
